"subjID","group","earnedCumulative","earnedLagged","trialDiscovered","avgEarnedPreDiscLagged","earnedafterDisc","trialsPostDisc","avgEarnedPostDisc","avgDiff"
"C124605","adult",378,149,40,3.725,229,40,5.725,2
"C269990","adult",490,209,40,5.225,281,40,7.025,1.8
"C305651","adult",477,254,48,5.29166666666667,223,32,6.96875,1.67708333333333
"C308534","adult",478,321,58,5.53448275862069,157,22,7.13636363636364,1.60188087774295
"C323131","adult",431,332,66,5.03030303030303,99,14,7.07142857142857,2.04112554112554
"C355547","adult",481,318,58,5.48275862068965,163,22,7.40909090909091,1.92633228840125
"C366200","adult",453,435,77,5.64935064935065,18,3,6,0.35064935064935
"C368364","adult",451,279,55,5.07272727272727,172,25,6.88,1.80727272727273
"C404864","adult",484,316,56,5.64285714285714,168,24,7,1.35714285714286
"C413970","adult",365,120,41,2.92682926829268,245,39,6.28205128205128,3.3552220137586
"C433786","adult",413,226,54,4.18518518518519,187,26,7.19230769230769,3.00712250712251
"C458938","adult",469,303,57,5.31578947368421,166,23,7.21739130434783,1.90160183066362
"C500532","adult",470,269,50,5.38,201,30,6.7,1.32
"C546829","adult",483,363,63,5.76190476190476,120,17,7.05882352941176,1.296918767507
"C549644","adult",378,206,50,4.12,172,30,5.73333333333333,1.61333333333333
"C557613","adult",485,292,52,5.61538461538461,193,28,6.89285714285714,1.27747252747253
"C657532","adult",460,383,69,5.55072463768116,77,11,7,1.44927536231884
"C677474","adult",480,384,66,5.81818181818182,96,14,6.85714285714286,1.03896103896104
"C764029","adult",473,377,68,5.54411764705882,96,12,8,2.45588235294118
"C942598","adult",471,268,50,5.36,203,30,6.76666666666667,1.40666666666667
"C979608","adult",493,293,54,5.42592592592593,200,26,7.69230769230769,2.26638176638177
"I001","child",497,248,44,5.63636363636364,249,36,6.91666666666667,1.28030303030303
"I002","child",316,130,40,3.25,186,40,4.65,1.4
"I004","child",309,125,41,3.04878048780488,184,39,4.71794871794872,1.66916823014384
"I005","child",313,131,42,3.11904761904762,182,38,4.78947368421053,1.67042606516291
"I006","child",331,140,42,3.33333333333333,191,38,5.02631578947368,1.69298245614035
"I009","child",370,335,75,4.46666666666667,35,5,7,2.53333333333333
"I011","child",353,149,43,3.46511627906977,204,37,5.51351351351351,2.04839723444375
"I012","child",285,144,47,3.06382978723404,141,33,4.27272727272727,1.20889748549323
"I014","child",328,153,43,3.55813953488372,175,37,4.72972972972973,1.17159019484601
"I019","child",318,130,43,3.02325581395349,188,37,5.08108108108108,2.05782526712759
"I022","child",311,137,43,3.18604651162791,174,37,4.7027027027027,1.5166561910748
"I023","child",362,168,43,3.90697674418605,194,37,5.24324324324324,1.3362664990572
"I024","child",304,133,42,3.16666666666667,171,38,4.5,1.33333333333333
"I026","child",293,118,41,2.8780487804878,175,39,4.48717948717949,1.60913070669168
"I027","child",307,127,41,3.09756097560976,180,39,4.61538461538461,1.51782363977486
"I028","child",465,251,49,5.12244897959184,214,31,6.90322580645161,1.78077682685978
"I030","child",320,130,41,3.17073170731707,190,39,4.87179487179487,1.7010631644778
"I031","child",314,126,41,3.07317073170732,188,39,4.82051282051282,1.7473420888055
"I034","child",290,136,47,2.8936170212766,154,33,4.66666666666667,1.77304964539007
"I035","child",305,133,43,3.09302325581395,172,37,4.64864864864865,1.55562539283469
"I038","child",325,136,40,3.4,189,40,4.725,1.325
"I039","child",356,152,40,3.8,204,40,5.1,1.3
"I044","child",332,155,44,3.52272727272727,177,36,4.91666666666667,1.39393939393939
"I046","child",318,129,42,3.07142857142857,189,38,4.97368421052632,1.90225563909774
"I047","child",310,128,41,3.1219512195122,182,39,4.66666666666667,1.54471544715447
"I048","child",316,130,42,3.0952380952381,186,38,4.89473684210526,1.79949874686717
"I050","child",294,118,42,2.80952380952381,176,38,4.63157894736842,1.82205513784461
"I052","child",413,214,49,4.36734693877551,199,31,6.41935483870968,2.05200789993417
"I053","child",386,160,42,3.80952380952381,226,38,5.94736842105263,2.13784461152882
"I054","child",336,142,42,3.38095238095238,194,38,5.10526315789474,1.72431077694236
"I058","child",313,120,40,3,193,40,4.825,1.825
"I059","child",335,133,41,3.24390243902439,202,39,5.17948717948718,1.93558474046279
"I060","child",349,139,40,3.475,210,40,5.25,1.775
"I061","child",329,128,41,3.1219512195122,201,39,5.15384615384615,2.03189493433396
"I062","child",369,182,48,3.79166666666667,187,32,5.84375,2.05208333333333
"I063","child",315,136,43,3.16279069767442,179,37,4.83783783783784,1.67504714016342
"I064","child",299,129,43,3,170,37,4.59459459459459,1.59459459459459
"I067","child",302,127,41,3.09756097560976,175,39,4.48717948717949,1.38961851156973
"I069","child",267,93,41,2.26829268292683,174,39,4.46153846153846,2.19324577861163
"I073","child",381,141,42,3.35714285714286,240,38,6.31578947368421,2.95864661654135
"I077","child",303,130,43,3.02325581395349,173,37,4.67567567567568,1.65241986172219
"S011","child",327,134,40,3.35,193,40,4.825,1.475
"S017","child",308,129,43,3,179,37,4.83783783783784,1.83783783783784
